,Rank,Movie_Title,Studio,Total_Gross_Revenue,Total_Gross_Theaters,Opening_Revenue,Opening_Theaters,Open_Date
321,314,House of D,Lions,"$388,532",305,"$36,371",2,4/15/05
322,315,Monument Ave.,Lions,"$333,760",24,"$41,556",10,9/25/98
323,316,Les Enfants Du Marais,Lions,"$324,006",18,"$47,170",13,10/1/99
324,317,Sweet Sixteen,Lions,"$316,319",21,"$26,667",3,5/16/03
325,318,Le Dernier Souffle,Lions,"$316,043",33,"$62,727",32,3/26/99
326,319,Intacto,Lions,"$307,333",31,"$7,362",1,12/13/02
327,320,Lost and Delirious,Lions,"$307,233",20,"$41,215",7,7/6/01
328,321,Mr. Jealousy,Lions,"$301,796",24,N/A,N/A,6/5/98
329,322,I Am David,Lions,"$288,552",226,"$160,346",226,12/3/04
330,323,Cyclo,Lions,"$284,692",6,"$38,109",6,8/1/96
331,324,Taxi (1998),Lions,"$268,254",N/A,N/A,N/A,11/20/98
332,325,The Lucky Ones,LGF,"$266,967",425,"$183,088",425,9/26/08
333,326,Hollow Reed,Lions,"$265,732",7,"$13,284",1,4/18/97
334,327,Flirt,Lions,"$263,192",7,"$15,040",1,8/7/96
335,328,Under Suspicion,Lions,"$260,562",19,"$109,863",19,9/22/00
336,329,Civil Brand,Lions,"$254,293",35,"$99,296",35,8/29/03
337,330,A Good Woman,LGF,"$238,609",35,"$97,060",35,2/3/06
338,331,I Married a Strange Person!,Lions,"$206,272",2,"$13,472",2,8/28/98
339,332,The Tic Code,Lions,"$205,003",9,"$25,190",9,8/4/00
340,333,Deliver Us from Evil (2006),LGF,"$201,275",24,"$15,656",4,10/13/06
341,334,The Snow Walker,Lions,"$201,149",16,"$35,000",16,3/5/04
342,335,Go For It,LGF,"$180,237",218,"$119,714",218,5/13/11
343,336,Cinco De Mayo: La Batalla,LGF,"$173,472",43,"$83,586",20,5/3/13
344,337,A Love Song for Bobby Long,Lions,"$164,308",24,"$28,243",8,12/29/04
345,338,Pastorela,LGF,"$161,194",55,"$82,175",55,12/2/11
346,339,Danny Deckchair,Lions,"$160,276",29,"$10,304",4,8/11/04
347,340,Mondays in the Sun,Lions,"$153,256",20,"$22,401",7,7/25/03
348,341,Pushing Hands,Lions,"$152,322",5,"$9,567",2,6/2/95
349,342,Hecho En Mexico,LGF,"$151,133",26,"$76,123",12,11/30/12
350,343,May,Lions,"$150,277",9,"$34,989",9,2/7/03
351,344,Repo: The Genetic Opera,LGF,"$146,750",11,"$53,684",8,11/7/08
352,345,Texas Chainsaw Massacre: The Next Generation,Lions,"$141,626",23,"$53,111",23,8/29/97
353,346,Labios Rojos,LGF,"$136,163",67,"$73,476",67,10/14/11
354,347,Himalaya l'enfance d'un chef,Lions,"$132,007",5,"$35,997",5,11/10/00
355,348,She's Funny That Way,LGP,"$111,996",26,N/A,N/A,8/21/15
356,349,The Weight of Water,Lions,"$109,130",27,"$45,888",27,11/1/02
357,350,A Slipping Down Life,Lions,"$107,099",31,"$9,066",5,5/14/04
358,351,Shattered Image,Lions,"$106,116",24,"$31,859",24,12/4/98
359,352,Stevie,Lions,"$103,401",13,"$9,383",4,3/28/03
360,353,Butterfly Kiss,Lions,"$87,626",N/A,N/A,N/A,5/3/96
361,354,Decoys,Lions,"$84,733",55,"$84,733",55,2/27/04
362,355,Midnight Meat Train,LGF,"$83,361",102,"$34,394",102,8/1/08
363,356,Three... Extremes,Lions,"$77,532",19,"$36,414",19,10/28/05
364,357,Steal This Movie,Lions,"$76,424",N/A,N/A,N/A,8/18/00
365,358,Eulogy,Lions,"$75,076",22,"$41,788",22,10/15/04
366,359,Dragon Blade,LGP,"$74,068",14,"$30,346",14,9/4/15
367,360,Chelsea Walls,Lions,"$60,902",6,"$10,003",3,4/19/02
368,361,Cooties,LGP,"$60,058",29,"$33,031",29,9/18/15
369,362,The Million Dollar Hotel,Lions,"$59,989",10,"$29,483",10,2/2/01
370,363,The Alarmist,Lions,"$59,864",11,"$7,787",1,10/16/98
371,364,Once in the Life,Lions,"$54,780",15,"$28,358",15,10/27/00
372,365,Southie,Lions,"$52,819",2,"$16,860",2,5/28/99
373,366,Heist (2015),LGP,"$50,136",24,"$28,688",24,11/13/15
374,367,The Low Life,Lions,"$45,436",3,"$3,589",1,5/10/96
375,368,Bandwagon,Lions,"$44,544",12,"$22,189",12,9/12/97
376,369,Return of the Texas Chainsaw Massacre,Lions,"$44,272",27,"$28,235",27,9/22/95
377,370,Undead,Lions,"$41,196",13,"$8,527",2,7/1/05
378,371,The Body,Lions,"$36,849",11,"$19,988",11,4/20/01
379,372,Knock Knock,LGP,"$36,336",22,"$18,623",22,10/9/15
380,373,Friends and Lovers,Lions,"$33,543",53,"$33,543",53,4/16/99
381,374,Don Verdean,LGP,"$31,309",40,"$12,907",40,12/11/15
382,375,Don't Tell,LGF,"$29,015",5,"$13,805",5,3/17/06
383,376,Metroland,Lions,"$26,682",12,"$26,682",12,4/9/99
384,377,All the Little Animals,Lions,"$26,558",10,N/A,N/A,9/3/99
385,378,Dream for an Insomniac,Lions,"$24,727",6,"$6,201",6,6/19/98
386,379,The Monster (Re-issue),Lions,"$22,819",1,"$5,793",1,4/2/99
387,380,New Rose Hotel,Lions,"$21,521",2,"$5,147",1,10/1/99
388,381,"I Love You, I Love You Not",Lions,"$20,677",6,"$10,587",6,10/31/97
389,382,Extraction,LGP,"$16,775",13,"$10,948",13,12/18/15
390,383,Vulgar,Lions,"$15,927",2,"$9,377",2,4/26/02
391,384,"Blood, Guts, Bullets & Octane",Lions,"$15,035",7,"$7,560",7,4/9/99
392,385,Savior,Lions,"$14,328",4,"$3,898",2,11/20/98
393,386,Stardom,Lions,"$10,886",10,N/A,N/A,10/27/00
394,387,Hi-Life,Lions,"$9,066",1,"$3,773",1,12/4/98
395,388,Streets of Legend,Lions,"$5,471",1,"$3,769",1,11/23/05
396,389,The Empty Mirror,Lions,"$4,688",4,"$4,688",4,5/7/99
